sku,product_name,stock,cost_price,price
830696,"APRO PRO Свердло по металу HSS/M2 ( 6542 ) Ø14,0 мм з хвостовиком Ø10 мм (пач. 5шт.)",14,153.37,207.32
830697,"APRO PRO Свердло по металу HSS/M2 ( 6542 ) Ø16,0 мм з хвостовиком Ø10 мм (пач. 5шт.)",4,185.64,254.72
830663,"APRO PRO Свердло по металу HSS/M2 ( 6542 ) Ø2,0 мм  (пач. 10шт.)",58,4.46,5.76
830664,"APRO PRO Свердло по металу HSS/M2 ( 6542 ) Ø2,5 мм  (пач. 10шт.)",80,5.67,7.53
830668,"APRO PRO Свердло по металу HSS/M2 ( 6542 ) Ø3,0 мм  (пач. 10шт.)",74,6.31,8.86
830669,"APRO PRO Свердло по металу HSS/M2 ( 6542 ) Ø3,2 мм  (пач. 10шт.)",70,8.1,10.19
830670,"APRO PRO Свердло по металу HSS/M2 ( 6542 ) Ø3,3 мм  (пач. 10шт.)",100,9.31,11.96
830671,"APRO PRO Свердло по металу HSS/M2 ( 6542 ) Ø3,5 мм  (пач. 10шт.)",70,10.53,13.29
830672,"APRO PRO Свердло по металу HSS/M2 ( 6542 ) Ø3,8 мм  (пач. 10шт.)",100,11.74,15.51
830673,"APRO PRO Свердло по металу HSS/M2 ( 6542 ) Ø4,0 мм  (пач. 10шт.)",130,12.36,16.83
830674,"APRO PRO Свердло по металу HSS/M2 ( 6542 ) Ø4,2 мм  (пач. 10шт.)",10,14.58,19.05
830675,"APRO PRO Свердло по металу HSS/M2 ( 6542 ) Ø4,5 мм  (пач. 10шт.)",30,16.2,20.82
830676,"APRO PRO Свердло по металу HSS/M2 ( 6542 ) Ø4,8 мм  (пач. 10шт.)",80,17.82,23.48
830677,"APRO PRO Свердло по металу HSS/M2 ( 6542 ) Ø5,0 мм  (пач. 10шт.)",80,19.44,24.81
830678,"APRO PRO Свердло по металу HSS/M2 ( 6542 ) Ø5,2 мм  (пач. 10шт.)",80,22.68,30.12
830679,"APRO PRO Свердло по металу HSS/M2 ( 6542 ) Ø5,5 мм  (пач. 10шт.)",100,24.7,31.9
830681,"APRO PRO Свердло по металу HSS/M2 ( 6542 ) Ø6,0 мм  (пач. 10шт.)",40,25.9,34.11
830683,"APRO PRO Свердло по металу HSS/M2 ( 6542 ) Ø6,5 мм  (пач. 10шт.)",100,30.78,39.87
830684,"APRO PRO Свердло по металу HSS/M2 ( 6542 ) Ø7,0 мм  (пач. 10шт.)",90,37.66,48.29
830685,"APRO PRO Свердло по металу HSS/M2 ( 6542 ) Ø7,5 мм  (пач. 10шт.)",100,41.72,53.6
830686,"APRO PRO Свердло по металу HSS/M2 ( 6542 ) Ø8,0 мм  (пач. 5шт.)",33,49.41,63.35
830687,"APRO PRO Свердло по металу HSS/M2 ( 6542 ) Ø8,5 мм  (пач. 5шт.)",50,53.05,67.78
830688,"APRO PRO Свердло по металу HSS/M2 ( 6542 ) Ø9,0 мм  (пач. 5шт.)",40,62.77,80.63
830689,"APRO PRO Свердло по металу HSS/M2 ( 6542 ) Ø9,5 мм  (пач. 5шт.)",50,68.85,88.16
830700,APRO PRO Свердло по металу кобальтове HSS-Co/M35 Ø1.0мм (пач. 10шт.),72,4.46,5.76
830701,APRO PRO Свердло по металу кобальтове HSS-Co/M35 Ø1.5мм (пач. 10шт.),40,4.86,7.09
830729,APRO PRO Свердло по металу кобальтове HSS-Co/M35 Ø10.0мм (пач. 5шт.),15,97.72,128.03
830731,APRO PRO Свердло по металу кобальтове HSS-Co/M35 Ø10.5мм (пач. 5шт.),15,112.59,155.49
830732,APRO PRO Свердло по металу кобальтове HSS-Co/M35 Ø11.0мм (пач. 5шт.),15,127.17,174.99
830733,APRO PRO Свердло по металу кобальтове HSS-Co/M35 Ø12.0мм (пач. 5шт.),20,148.68,203.78
830734,APRO PRO Свердло по металу кобальтове HSS-Co/M35 Ø13.0мм (пач. 5шт.),20,184.95,255.17
830703,APRO PRO Свердло по металу кобальтове HSS-Co/M35 Ø2.0мм (пач. 10шт.),60,5.46,7.53
830704,APRO PRO Свердло по металу кобальтове HSS-Co/M35 Ø2.5мм (пач. 10шт.),8,7.7,9.75
830707,APRO PRO Свердло по металу кобальтове HSS-Co/M35 Ø3.0мм (пач. 10шт.),10,9.13,11.96
830708,APRO PRO Свердло по металу кобальтове HSS-Co/M35 Ø3.2мм (пач. 10шт.),20,9.35,12.85
830709,APRO PRO Свердло по металу кобальтове HSS-Co/M35 Ø3.3мм (пач. 10шт.),90,10.53,13.29
830710,APRO PRO Свердло по металу кобальтове HSS-Co/M35 Ø3.5мм (пач. 10шт.),31,10.57,15.06
830711,APRO PRO Свердло по металу кобальтове HSS-Co/M35 Ø3.8мм (пач. 10шт.),100,15.39,20.82
830712,APRO PRO Свердло по металу кобальтове HSS-Co/M35 Ø4.0мм (пач. 10шт.),30,15.79,21.26
830713,APRO PRO Свердло по металу кобальтове HSS-Co/M35 Ø4.2мм (пач. 10шт.),24,18.63,24.81
830714,APRO PRO Свердло по металу кобальтове HSS-Co/M35 Ø4.5мм (пач. 10шт.),68,18.83,25.25
830715,APRO PRO Свердло по металу кобальтове HSS-Co/M35 Ø4.8мм (пач. 10шт.),76,21.41,28.35
830716,APRO PRO Свердло по металу кобальтове HSS-Co/M35 Ø5.0мм (пач. 10шт.),20,21.68,29.24
830718,APRO PRO Свердло по металу кобальтове HSS-Co/M35 Ø5.5мм (пач. 10шт.),44,26.77,38.1
830720,APRO PRO Свердло по металу кобальтове HSS-Co/M35 Ø6.0мм (пач. 10шт.),38,30.88,41.64
830722,APRO PRO Свердло по металу кобальтове HSS-Co/M35 Ø6.5мм (пач. 10шт.),58,36.86,49.62
830723,APRO PRO Свердло по металу кобальтове HSS-Co/M35 Ø7.0мм (пач. 10шт.),68,44.95,61.13
830724,APRO PRO Свердло по металу кобальтове HSS-Co/M35 Ø7.5мм (пач. 10шт.),99,51.43,73.1
830725,APRO PRO Свердло по металу кобальтове HSS-Co/M35 Ø8.0мм (пач. 5шт.),10,56.28,77.08
830726,APRO PRO Свердло по металу кобальтове HSS-Co/M35 Ø8.5мм (пач. 5шт.),35,67.63,86.39
830727,APRO PRO Свердло по металу кобальтове HSS-Co/M35 Ø9.0мм (пач. 5шт.),25,78.57,101.0
830745,APRO PRO Свердло ступеневе спіральне Ø4-12 мм ( сталь 6542 ),53,133.0,201.57
830746,APRO PRO Свердло ступеневе спіральне Ø4-20 мм ( сталь 6542 ),8,195.7,296.81
830747,APRO PRO Свердло ступеневе спіральне Ø4-32 мм ( сталь 6542 ),6,490.28,711.9
830645,APRO PRO Свердло фрезерне Ø3 мм,47,19.84,28.35
830646,APRO PRO Свердло фрезерне Ø4 мм,43,22.27,31.9
830647,APRO PRO Свердло фрезерне Ø5 мм,40,23.49,33.23
830648,APRO PRO Свердло фрезерне Ø6 мм,44,25.52,36.33
830649,"APRO PRO Свердло фрезерне Ø6,5 мм",46,28.47,38.54
830650,APRO PRO Свердло фрезерне Ø8 мм,46,37.66,53.6
510166,"APRO PRO Штангенциркуль електронний 150 мм металевий корпус ( батарея 1,5 В )",7,595.0,775.25
952423,APRO Автоінвертор CPI-1000PS (чиста синусоїда),5,4291.65,5931.77
895592,APRO Адаптер для батареї BA-20,10,364.5,503.25
850050,APRO Аерограф Ø0.3 мм 1-2 Бар 7 мл,5,489.51,664.5
850052,APRO Аерограф проф. Ø0.2 мм 1-2 Бар 9 мл,4,828.75,1080.04
895475,APRO Акумуляторна батарея 2020B 20 В 2 А,24,782.91,1031.75
895476,APRO Акумуляторна батарея 2040B 20 В 4 А,11,1344.0,1789.72
895477,APRO Акумуляторна батарея 2060B 20 В 6 А,11,2113.83,2743.94
895478,APRO Акумуляторна батарея 2080B 20 В 8 А (SAMSUNG),11,3442.5,4614.29
899141,APRO Бензопила ланцюгова APRO BPL 1800,1,1940.4,2685.91
899142,APRO Бензопила ланцюгова APRO BPL 2000,6,2016.0,2741.28
899144,"APRO Бензопила ланцюгова BPL 4517, 16 дюймів",10,1955.0,2547.25
899145,"APRO Бензопила ланцюгова BPL 4518, 16 дюймів, kit",10,2337.5,3045.62
899146,"APRO Бензопила ланцюгова BPL 5220, 16/18 дюймів, kit",10,2550.0,3322.5
899512,"APRO Бетонозмішувач СМ-120 28-30 об/хв. 550 Вт, 120 л (вінець з чавуну)",2,7126.82,8914.49
899514,"APRO Бетонозмішувач СМ-140 28-30 об/хв. 550 Вт, 140 л (вінець з чавуну)",2,7810.43,9712.33
309172,APRO Біта  2-х стороння РН2-РН2х65 мм хром 10шт в уп,1,89.04,117.4
309103,"APRO Біта  РН1х25 мм хром, 10шт в уп",11,36.65,42.97
309133,"APRO Біта  РН1х50 мм хром, 10шт в уп",48,60.06,68.22
309105,"APRO Біта  РН2х25 мм хром, 10шт в уп",74,39.29,53.6
309135,APRO Біта  РН2х50 мм хром 10шт в уп,64,69.66,95.25
